publisher,title,author,primary_isbn10,weeks_on_list
Sapphire Star Publishing,LOST TO YOU,A L Jackson,1938404505,0
Random House,CONVICTION,Aaron Allston,345509102,1
Abbi Glines,FOREVER TOO FAR,Abbi Glines,988301334,2
Atria,RUSH TOO FAR,Abbi Glines,1476775958,1
Atria,SIMPLE PERFECTION,Abbi Glines,1476756538,1
Atria,TAKE A CHANCE,Abbi Glines,1476756562,1
Abbi Glines,TWISTED PERFECTION,Abbi Glines,988301326,2
Atria,WHEN I'M GONE,Abbi Glines,1476776105,1
Atria,YOU WERE MINE,Abbi Glines,1476776083,1
Knopf Doubleday,CUTTING FOR STONE,Abraham Verghese,375714367,0
Putnam,ROBERT B. PARKER'S LITTLE WHITE LIES,Ace Atkins,698413067,1
Putnam,ROBERT B. PARKER'S OLD BLACK MAGIC,Ace Atkins,698413075,1
Addison Moore,SOMEONE TO LOVE,Addison Moore,1624300006,4
Harper,ALL THE STARS IN THE HEAVENS,Adriana Trigiani,62319213,0
Harper,KISS CARLO,Adriana Trigiani,62319221,1
HarperCollins Publishers,THE SHOEMAKERS WIFE,Adriana Trigiani,62098063,1
Harper,THE PERFECT MOTHER,Aimee Molloy,62696815,1
Morrow,THE WOMAN IN THE WINDOW,AJ Finn,62678418,15
Delacorte,AS CHIMNEY SWEEPERS COME TO DUST,Alan Bradley,345539958,0
Delacorte,THE GRAVE'S A FINE AND PRIVATE PLACE,Alan Bradley,345540018,1
Random House,THRICE THE BRINDED CAT HATH MEW'D,Alan Bradley,345539982,1
Lucasbooks,THE FORCE AWAKENS,Alan Dean Foster,1101965495,2
Random House,MIDNIGHT IN EUROPE,Alan Furst,679604235,1
Random House Publishing,MISSION TO PARIS,Alan Furst,679604227,1
Romig Works,FIDELITY,Aleatha Romig,996839445,1
EverAfter Romance,MOONSHOT,Alessandra Torre,1940941776,0
Putnam,THE DECEIVERS,Alex Berenson,698407539,1
Pantheon,PRECIOUS AND GRACE,Alexander McCall Smith,1101871369,1
Pantheon,THE HOUSE OF UNEXPECTED SISTERS,Alexander McCall Smith,1101871385,1
Knopf Doubleday Publishing,THE LIMPOPO ACADEMY OF PRIVATE DETECTION,Alexander McCall Smith,307378403,1
Open Road Media,SEVENTH HEAVEN,Alice Hoffman,1453206361,0
Simon & Schuster,THE DOVEKEEPERS,Alice Hoffman,1451617496,0
Simon & Schuster,THE MARRIAGE OF OPPOSITES,Alice Hoffman,1451693613,0
Simon & Schuster,THE RULES OF MAGIC,Alice Hoffman,1501137492,1
St. Martin's,MAKE THEM PAY,Allison Brennan,1250105277,1
Minotaur,NO GOOD DEED,Allison Brennan,1466870036,0
Morrow/HarperCollins,THE LOST GIRLS,Allison Brennan,1250105102,1
Putnam,GARDEN OF LIES,Amanda Quick,1101621044,1
Berkley,THE GIRL WHO KNEW TOO MUCH,Amanda Quick,698193628,1
Berkley,THE OTHER LADY VANISHES,Amanda Quick,399585338,1
Ecco/HarperCollins,THE VALLEY OF AMAZEMENT,Amy Tan,62107313,3
Crown,ARTEMIS,Andy Weir,553448129,6
Knopf,THE STARS ARE FIRE,Anita Shreve,385350910,1
Random House,SISTERHOOD EVERLASTING,Ann Brashares,679605096,1
Harper/HarperCollins,COMMONWEALTH,Ann Patchett,62491814,0
HarperCollins,STATE OF WONDER,Ann Patchett,62049828,0
Houghton Mifflin Harcourt,THE MAGICIAN'S ASSISTANT,Ann Patchett,547548796,1
Random House,MILLER'S VALLEY,Anna Quindlen,812996089,0
Random House,STILL LIFE WITH BREAD CRUMBS,Anna Quindlen,812995759,0
ROC,ETCHED IN BONE,Anne Bishop,698190459,1
Roc,MARKED IN FLESH,Anne Bishop,698190424,1
Harper,CAVE OF BONES,Anne Hillerman,62391941,1
Harper,ROCK WITH WINGS,Anne Hillerman,62270532,1
Harper,SONG OF THE LION,Anne Hillerman,62391895,1
Knopf,PRINCE LESTAT,Anne Rice,307962520,2
Knopf,PRINCE LESTAT AND THE REALMS OF ATLANTIS,Anne Rice,385353790,1
Knopf Doubleday Publishing,THE WOLF GIFT,Anne Rice,307595110,0
Grand Central,THE GIRLS OF AUGUST,Anne Rivers Siddons,446565849,1
Knopf,A SPOOL OF BLUE THREAD,Anne Tyler,1101874287,0
Dial,THE TRUTH ACCORDING TO US,Annie Barrows,812997840,0
Scribner,BARKSKINS,Annie Proulx,743288785,0
Scribner,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,1501173219,81
Ace,QUEEN OF FIRE,Anthony Ryan,1101612983,0
Knopf Doubleday Publishing,THE TWELVE TRIBES OF HATTIE,Ayana Mathis,385350287,0
St. Martins,BEHIND CLOSED DOORS,B A Paris,1250121019,2
Knopf Doubleday,ESCAPE,Barbara Delinsky,385532733,0
Barbara Freethy,IF I DIDN'T KNOW BETTER,Barbara Freethy,996117113,0
HarperCollins Publishers,FLIGHT BEHAVIOR,Barbara Kingsolver,62124285,0
Oak Press,ALL I EVER NEED IS YOU,Bella Andre,1938127595,1
Oak Press,NOW THAT I'VE FOUND YOU,Bella Andre,1938127897,1
Oak Press,YOU DO SOMETHING TO ME,Bella Andre,1945253460,1
Oak Press,WILD IN LOVE,Bella Andre and Jennifer Skully,1945253436,1
HarperCollins Publishers,DEATH OF KINGS,Bernard Cornwell,62097113,1
Harper,THE EMPTY THRONE,Bernard Cornwell,62250744,0
Harper,THE FLAME BEARER,Bernard Cornwell,62250825,1
Harper,WARRIORS OF THE STORM,Bernard Cornwell,62250965,1
Penguin Group,BECAUSE YOU ARE MINE PART IV,Beth Kerry,1101608528,0
Crown/Archetype,DARK MATTER,Blake Crouch,1101904232,0
Grand Central,THE ESCAPE ARTIST,Brad Meltzer,1455559512,4
Grand Central,THE INNER CIRCLE,Brad Meltzer,446582638,0
Grand Central,THE HOUSE OF SECRETS,Brad Meltzer and Tod Goldberg,1455559504,1
Dutton,OPERATOR DOWN,Brad Taylor,1101984821,1
Dutton,THE FORGOTTEN SOLDIER,Brad Taylor,698404149,1
Simon & Schuster,BLACK LIST,Brad Thor,1439193061,0
Emily Bestler/Atria,CODE OF CONDUCT,Brad Thor,1476717176,6
Emily Bestler/Atria,FOREIGN AGENT,Brad Thor,1476789371,0
Simon & Schuster,FULL BLACK,Brad Thor,1416586768,4
Emily Bestler/Atria,HIDDEN ORDER,Brad Thor,1476717117,0
Atria/Emily Bestler,USE OF FORCE,Brad Thor,1476789401,4
Tor/Tom Doherty,SHADOWS OF SELF,Brandon Sanderson,1466862661,1
Tom Doherty Associates,THE ALLOY OF LAW,Brandon Sanderson,1429994894,1
Orbit,THE BLOOD MIRROR,Brent Weeks,316251313,1
Orbit,THE BROKEN EYE,Brent Weeks,316235555,1
Morrow/HarperCollins,FINDING JAKE,Bryan Reardon,62339532,1
Flip City Media,MARRIAGE GAMES,C D Reiss,1942833288,0
Putnam,STONE COLD,C J Box,698150171,1
Putnam,VICIOUS CIRCLE,C J Box,399176616,2
Knopf,RAZOR GIRL,Carl Hiaasen,385349750,0
CP Publishing,GOING DOWN FAST,Carly Phillips,1942288093,0
Berkley,MULBERRY MOON,Catherine Anderson,451488024,1
Signet,NEW LEAF,Catherine Anderson,451418352,0
Gallery Books,ENIGMA,Catherine Coulter,1501138111,1
Gallery Books,INSIDIOUS,Catherine Coulter,1501150316,3
Gallery Books,THE DEVIL'S TRIANGLE,Catherine Coulter and J T Ellison,1501150359,1
Putnam,THE LOST KEY,Catherine Coulter and J T Ellison,1101618752,1
Gallery,THE SIXTH DAY,Catherine Coulter and JT Ellison,1501138219,1
Penguin,EVERYTHING I NEVER TOLD YOU,Celeste Ng,1101634618,1
Penguin Press,LITTLE FIRES EVERYWHERE,Celeste Ng,735224307,31
"Little, Brown & Company",THE ART OF FIELDING,Chad Harbach,316126691,0
Ace,MIDNIGHT CROSSROAD,Charlaine Harris,1101598794,0
Ace,NIGHT SHIFT,Charlaine Harris,1101598832,0
Evil Eye Concepts,SERVICING THE TARGET,Cherise Sinclair,1940887917,0
Putnam,THE IMMORTALISTS,Chloe Benjamin,735213186,1
Doubleday,THE FLIGHT ATTENDANT,Chris Bohjalian,385542429,1
Doubleday,THE GUEST ROOM,Chris Bohjalian,385538901,0
Doubleday,THE SLEEPWALKER,Chris Bohjalian,385538928,0
Simon & Schuster,LITTLE BEE,Chris Cleave,1416589643,0
Gallery,BEAUTIFUL,Christina Lauren,1501128000,0
Simon & Schuster,BEAUTIFUL BEGINNING,Christina Lauren,1476751749,1
Gallery Books,BEAUTIFUL BITCH,Christina Lauren,1476751722,1
Gallery,BEAUTIFUL BOSS,Christina Lauren,1501131222,0
Simon & Schuster,BEAUTIFUL PLAYER,Christina Lauren,1476751412,1
Simon & Schuster,BEAUTIFUL SECRET,Christina Lauren,1476778019,1
Gallery Books,BEAUTIFUL STRANGER,Christina Lauren,1476731543,1
Gallery,DARK WILD NIGHT,Christina Lauren,1476777950,0
Gallery Books,DIRTY ROWDY THING,Christina Lauren,1476777977,1
Gallery Books,WICKED SEXY LIAR,Christina Lauren,1476777993,1
Berkley,BOUND TOGETHER,Christine Feehan,399583947,1
Berkley,COVERT GAME,Christine Feehan,451489888,1
Jove,FIRE BOUND,Christine Feehan,698197755,1
Berkley,JUDGMENT ROAD,Christine Feehan,451488512,2
Berkley,LEOPARD'S BLOOD,Christine Feehan,399583971,2
Penguin Group,SAVAGE NATURE,Christine Feehan,515149330,1
Jove,VIPER GAME,Christine Feehan,698180569,1
Morrow,NOIR,Christopher Moore,62433970,1
HarperCollins Publishers,SACRE BLEU,Christopher Moore,61779741,1
HarperCollins Publishers,SACRE BLEU,Christopher Moore,61779741,1
Morrow,SECONDHAND SOULS,Christopher Moore,61779784,0
Del Rey,AFTERMATH: EMPIRE'S END,Chuck Wendig,1101966963,1
Del Rey,LIFE DEBT: AFTERMATH,Chuck Wendig,1101966947,0
Pocket Books,LAST MAN STANDING,Cindy Gerard,1451606869,0
Putnam,THE DISAPPEARED,CJ Box,399176624,2
Del Rey,STAR WARS: BLOODLINE,Claudia Gray,345511360,1
Putnam,THE EMPEROR'S REVENGE,Clive Cussler and Boyd Morrison,399175962,0
Putnam,ODESSA SEA,Clive Cussler and Dirk Cussler,399575510,0
Putnam,DEVILS GATE,Clive Cussler and Graham Brown,399157824,0
Putnam,NIGHTHAWK,Clive Cussler and Graham Brown,399184015,3
Putnam,THE PHARAOH'S SECRET,Clive Cussler and Graham Brown,399174117,0
Putnam,THE RISING SEA,Clive Cussler and Graham Brown,735215537,2
Putnam,THE BOOTLEGGER,Clive Cussler and Justin Scott,698140737,0
Putnam,THE CUTTHROAT,Clive Cussler and Justin Scott,399575618,1
Putnam,THE GANGSTER,Clive Cussler and Justin Scott,698406427,3
Penguin Group,THE RACE,Clive Cussler and Justin Scott,399157816,0
Putnam,PIRATE,Clive Cussler and Robin Burcell,399183973,0
Putnam,THE ROMANOV RANSOM,Clive Cussler and Robin Burcell,399575553,1
Putnam,THE SOLOMON CURSE,Clive Cussler and Russell Blake,698192095,1
Penguin Group,THE KINGDOM,Clive Cussler with Grant Blackwood,399157425,0
Atria,11/9/2020,Colleen Hoover,1501110357,1
Atria,CONFESS,Colleen Hoover,1476791465,1
Atria,IT ENDS WITH US,Colleen Hoover,1501110373,0
Atria,THIS GIRL,Colleen Hoover,1476746540,1
Atria,WITHOUT MERIT,Colleen Hoover,1501170635,1
Scribner,BROOKLYN,Colm Toibin,1501106473,1
Doubleday,THE UNDERGROUND RAILROAD,Colson Whitehead,385542364,16
BAAE,ONE LAST TIME,Corinne Michaels,1942834225,1
EverAfter Romance,SAY I'M YOURS,Corinne Michaels,1942834217,1
BAAE,SAY YOU WANT ME,Corinne Michaels,1942834209,1
BAAE,SAY YOU'LL STAY,Corinne Michaels,1942834187,0
Viking,ANY OTHER NAME,Craig Johnson,698163532,1
Viking,DRY BONES,Craig Johnson,698157516,1
Viking,THE WESTERN STAR,Craig Johnson,698157540,1
Random House,ELIGIBLE,Curtis Sittenfeld,812997611,0
Ecco/HarperCollins,THE NEST,Cynthia D'Aprix Sweeney,62414216,11
Anchor,INFERNO,Dan Brown,1101972971,0
Doubleday,ORIGIN,Dan Brown,385514239,20
Knopf Doubleday,THE LOST SYMBOL,Dan Brown,1400079144,0
Harper,HOUSE OF SPIES,Daniel Silva,62354361,4
Harper,THE BLACK WIDOW,Daniel Silva,62320246,0
Harper,THE ENGLISH GIRL,Daniel Silva,62073206,0
Harper,THE ENGLISH SPY,Daniel Silva,62320157,0
HarperCollins Publishers,THE FALLEN ANGEL,Daniel Silva,62073176,0
Random House,44 CHARLES STREET,Danielle Steel,385343140,2
Delacorte,A PERFECT LIFE,Danielle Steel,345530969,0
Delacorte,ACCIDENTAL HEROES,Danielle Steel,1101884096,2
Random House Publishing,BETRAYAL,Danielle Steel,345532341,0
Delacorte,FAIRYTALE,Danielle Steel,1101884061,2
Delacorte,FALL FROM GRACE,Danielle Steel,1101884002,2
Random House Publishing,FRIENDS FOREVER,Danielle Steel,345533569,0
Random House,HAPPY BIRTHDAY,Danielle Steel,440423317,0
Random House Publishing,HOTEL VENDOME,Danielle Steel,345529200,0
Delacorte,MAGIC,Danielle Steel,1101885572,3
Delacorte,PAST PERFECT,Danielle Steel,1101883979,1
Delacorte,PRECIOUS GIFTS,Danielle Steel,345531035,0
Delacorte,PROPERTY OF A NOBLEWOMAN,Danielle Steel,804179662,0
Delacorte,RUSHING WATERS,Danielle Steel,425285375,0
Delacorte,THE APARTMENT,Danielle Steel,425285421,5
Delacorte,THE AWARD,Danielle Steel,1101883855,0
Delacorte,THE CAST,Danielle Steel,1101884037,2
Delacorte,THE DUCHESS,Danielle Steel,345531086,2
Delacorte,THE MISTRESS,Danielle Steel,345531116,3
Delacorte,THE RIGHT TIME,Danielle Steel,1101883960,5
Delacorte,WINNERS,Danielle Steel,345539680,0
St. Martin's,SIXTH GRAVE ON THE EDGE,Darynda Jones,1466845260,0
St. Martin's,THE DIRT ON NINTH GRAVE,Darynda Jones,1466886153,0
St. Martins Press,THE CIRCLE,Dave Eggers,385351402,1
Grand Central Publishing,BULLSEYE,David Baldacci,1455557285,0
Grand Central,END GAME,David Baldacci,1455586633,8
Grand Central,HELL'S CORNER,David Baldacci,446571415,0
Grand Central,MEMORY MAN,David Baldacci,1455559806,0
Grand Central,NO MAN'S LAND,David Baldacci,1455586501,10
Grand Central,NO TIME LEFT,David Baldacci,1455504394,1
Grand Central,ONE SUMMER,David Baldacci,446583170,0
Grand Central,THE ESCAPE,David Baldacci,1455521167,12
Grand Central,THE FALLEN,David Baldacci,1538761378,6
Grand Central,THE FIX,David Baldacci,1455586587,12
Grand Central,THE FORGOTTEN,David Baldacci,446573043,15
Grand Central,THE GUILTY,David Baldacci,1455586439,10
Grand Central,THE HIT,David Baldacci,1455521280,9
Grand Central Publishing,THE INNOCENT,David Baldacci,446573000,0
Grand Central,THE SIXTH MAN,David Baldacci,446573078,8
Vision,TOTAL CONTROL,David Baldacci,759524920,0
Grand Central Publishing,ZERO DAY,David Baldacci,446573027,0
Knopf,THE GIRL IN THE SPIDER'S WEB,David Lagercrantz,385354290,10
Knopf,THE GIRL WHO TAKES AN EYE FOR AN EYE,David Lagercrantz,451494334,7
Random House Publishing,CLOUD ATLAS,David Mitchell,375507256,0
Random House,SLADE HOUSE,David Mitchell,812998685,0
Random House,THE BONE CLOCKS,David Mitchell,1400065674,1
Knopf Doubleday,ONE DAY,David Nicholls,307946711,0
Tor,AT THE SIGN OF TRIUMPH,David Weber,1429952113,1
Tom Doherty,HOW FIRM A FOUNDATION,David Weber,765321548,0
Tom Doherty Associates,MIDST TOIL AND TRIBULATION,David Weber,1429944684,0
Random House Publishing,77 SHADOW STREET,Dean Koontz,345532368,0
Bantam,ASHLEY BELL,Dean Koontz,345545966,3
Bantam,DEEPLY ODD,Dean Koontz,345535693,1
Random House,FRANKENSTEIN: THE DEAD TOWN,Dean Koontz,553593684,1
Bantam,INNOCENCE,Dean Koontz,345539656,0
Random House Publishing,ODD APOCALYPSE,Dean Koontz,345533585,0
Random House Publishing,ODD INTERLUDE #2,Dean Koontz,345536770,1
Bantam,THE CROOKED STAIRCASE,Dean Koontz,525483446,1
Bantam,THE SILENT CORNER,Dean Koontz,345546784,2
Bantam,THE WHISPERING ROOM,Dean Koontz,345546814,1
Random House,WHAT THE NIGHT KNOWS,Dean Koontz,553907530,0
Bantam,WILDERNESS,Dean Koontz,804178615,1
Mira,1105 YAKIMA STREET,Debbie Macomber,778312518,4
Mira,16 LIGHTHOUSE ROAD,Debbie Macomber,1459254821,1
Ballantine,A GIRL'S GUIDE TO MOVING ON,Debbie Macomber,553391925,0
Random House Publishing,ANGELS AT THE TABLE,Debbie Macomber,345535960,0
Ballantine,ANY DREAM WILL DO,Debbie Macomber,399181202,1
Ballantine,BLOSSOM STREET BRIDES,Debbie Macomber,345549864,1
Ballantine,DASHING THROUGH THE SNOW,Debbie Macomber,553391704,1
Ballantine,IF NOT FOR YOU,Debbie Macomber,553391976,1
Ballantine,LAST ONE HOME,Debbie Macomber,553391895,0
Ballantine,MERRY AND BRIGHT,Debbie Macomber,399181237,1
Ballantine,STARRY NIGHT,Debbie Macomber,345545524,1
Random House Publishing,STARTING NOW,Debbie Macomber,345533534,1
Random House,SWEET TOMORROWS,Debbie Macomber,553391860,0
Random House Publishing,THE INN AT ROSE HARBOR,Debbie Macomber,345535111,5
Ballantine,TWELVE DAYS OF CHRISTMAS,Debbie Macomber,553391747,1
Viking,THE BOOK OF LIFE,Deborah Harkness,698163478,4
Denise Grover Swank,THE SUBSTITUTE,Denise Grover Swank,1939996236,1
DGS,THIRTY-FIVE AND A HALF CONSIPIRACIES,Denise Grover Swank,1939996341,0
Denise Grover Swank,THIRTY-FOUR AND A HALF PREDICAMENTS,Denise Grover Swank,1939996260,1
Denise Grover Swank,THIRTY-SIX AND A HALF MOTIVES,Denise Grover Swank,1939996392,1
HarperCollins Publishers,LIVE BY NIGHT,Dennis Lehane,62200291,0
Ecco/HarperCollins,SINCE WE FELL,Dennis Lehane,62129406,1
Random House Publishing,A LEAF ON THE WIND OF ALL HALLOWS,Diana Gabaldon,345545370,1
Dell,DRAGONFLY IN AMBER,Diana Gabaldon,440335183,0
Dell,OUTLANDER,Diana Gabaldon,440335167,21
Random House Publishing,THE SCOTTISH PRISONER,Diana Gabaldon,385337515,0
Dell,VIRGINS,Diana Gabaldon,1101882522,1
Harlequin,TRUE BLUE AND CARRERAS BRIDE,Diana Palmer,1459281969,0
Harlequin,WYOMING BOLD,Diana Palmer,1460320891,1
HQN,WYOMING BRAVE,Diana Palmer,373789947,0
Harlequin,WYOMING TOUGH,Diana Palmer,1459215230,0
HQN,WYOMING WINTER,Diana Palmer,373803729,1
St. Martin's Griffin,THE SILENT SISTER,Diane Chamberlain,1250010721,0
HarperCollins,CRUNCH TIME,Diane Mott Davidson,61348155,0
Morrow,THE FORCE,Don Winslow,62664425,1
Atlantic Monthly Press,BY ITS COVER,Donna Leon,802192505,0
Atlantic Monthly,EARTHLY REMAINS,Donna Leon,802189458,1
Atlantic Monthly,FALLING IN LOVE,Donna Leon,802191835,1
Atlantic Monthly,THE TEMPTATION OF FORGIVENESS,Donna Leon,802165613,1
Atlantic Monthly,THE WATERS OF ETERNAL YOUTH,Donna Leon,802190316,1
"Little, Brown",THE GOLDFINCH,Donna Tartt,316055441,0
Morrow/HarperCollins,ALL SUMMER LONG,Dorothea Benton Frank,62390759,0
Morrow/HarperCollins,ALL THE SINGLE LADIES,Dorothea Benton Frank,62132563,0
Morrow,BY INVITATION ONLY,Dorothea Benton Frank,62390821,2
HarperCollins,FOLLY BEACH,Dorothea Benton Frank,61961272,1
HarperCollins Publishers,PORCH LIGHTS,Dorothea Benton Frank,62194860,1
Morrow,"SAME BEACH, NEXT YEAR",Dorothea Benton Frank,62390783,2
Morrow/HarperCollins,THE HURRICANE SISTERS,Dorothea Benton Frank,62132520,0
Morrow/HarperCollins,THE LAST ORIGINAL WIFE,Dorothea Benton Frank,62132458,0
Grand Central,BLUE LABYRINTH,Douglas Preston and Lincoln Child,1455525901,0
Grand Central,COLD VENGEANCE,Douglas Preston and Lincoln Child,446554987,2
Grand Central,CRIMSON SHORE,Douglas Preston and Lincoln Child,1455525936,2
Grand Central Publishing,GIDEONS CORPSE,Douglas Preston and Lincoln Child,446564354,1
Grand Central,THE OBSIDIAN CHAMBER,Douglas Preston and Lincoln Child,1455536911,0
Grand Central,WHITE FIRE,Douglas Preston and Lincoln Child,1455525855,2
Random House Publishing,THE OLD REPUBLIC: REVAN,Drew Karpyshyn,345511344,1
Vintage,FIFTY SHADES DARKER,E L James,525431888,66
Vintage,FIFTY SHADES FREED,E L James,1612130615,0
Vintage,FIFTY SHADES TRILOGY,E L James,345803574,19
Vintage,GREY,E L James,1101946342,0
Doubleday,PARIS,Edward Rutherfurd,385535317,1
Vintage,DARKER,EL James,385543980,9
Europa Editions,MY BRILLIANT FRIEND,Elena Ferrante,1609450787,0
"Reagan Arthur/Little, Brown",BEAUTIFUL DAY,Elin Hilderbrand,316227188,0
"Little, Brown",HERE'S TO US,Elin Hilderbrand,316375152,0
"Little, Brown",SILVER GIRL,Elin Hilderbrand,316175579,2
"Little, Brown & Company",SUMMERLAND,Elin Hilderbrand,316202479,0
"Little, Brown",THE IDENTICALS,Elin Hilderbrand,316375209,6
"Little, Brown",THE RUMOR,Elin Hilderbrand,316334502,0
"Little, Brown",WINTER SOLSTICE,Elin Hilderbrand,316435481,1
"Little, Brown",WINTER STORMS,Elin Hilderbrand,316261157,1
"Little, Brown",WINTER STROLL,Elin Hilderbrand,316261122,0
Elisabeth Naughton,WAIT FOR ME,Elisabeth Naughton,985671955,3
Indie Six,WICKED FIRSTS,Elisabeth Naughton and others,988986221,0
Penguin Group,BELIEVING THE LIE,Elizabeth George,525952586,0
Random House,ANYTHING IS POSSIBLE,Elizabeth Strout,812989422,1
Random House,MY NAME IS LUCY BARTON,Elizabeth Strout,812989074,5
Random House,THE BURGESS BOYS,Elizabeth Strout,812984617,0
HarperCollins Publishers,RAYLAN,Elmore Leonard,62119486,0
Avon Impulse,A GENTLEMAN NEVER TELLS,Eloisa James,62573063,0
Avon,MY AMERICAN DUCHESS,Eloisa James,62389440,1
Avon,SEVEN MINUTES IN HEAVEN,Eloisa James,62389467,1
Avon,WILDE IN LOVE,Eloisa James,62389483,1
Ballantine,FIRST COMES LOVE,Emily Giffin,345546938,0
St. Martins,SOMETHING BLUE,Emily Giffin,1429904623,0
St. Martin's,SOMETHING BORROWED,Emily Giffin,1429904607,0
St. Martin's Press,WHERE WE BELONG,Emily Giffin,1429957867,0
Emma Chase,ROYALLY SCREWED,Emma Chase,997426225,1
Random House,THE GIRLS,Emma Cline,812998618,8
"Little, Brown",ROOM,Emma Donoghue,316098329,0
Riverhead,THE VACATIONERS,Emma Straub,1101618043,0
Witness Impulse,THE SILENT GIRLS,Eric Rickstad,62351516,0
Grand Central,THE BOURNE DOMINION,Eric Van Lustbader,446564443,0
Knopf Doubleday,THE NIGHT CIRCUS,Erin Morgenstern,385534647,0
Crown,ARMADA,Ernest Cline,804137250,1
Broadway,READY PLAYER ONE,Ernest Cline,307887448,24
Ace,DARK QUEEN,Faith Hunter,1101991437,1
Random House,THE ALL-GIRL FILLING STATION'S LAST REUNION,Fannie Flagg,1400065941,0
Morrow,BONE BOX,Faye Kellerman,62425250,1
Morrow/HarperCollins,THE BEAST,Faye Kellerman,62121774,0
Kensington,CHRISTMAS AT TIMBERWOODS,Fern Michaels,1420125885,0
Kensington,COUNTDOWN,Fern Michaels,1420134965,1
Zebra,FAST AND LOOSE,Fern Michaels,1420140647,1
Zebra,FORGET ME NOT,Fern Michaels,1420133152,0
Kensington,HOME FREE,Fern Michaels,1420122487,1
Zebra,IN PLAIN SIGHT,Fern Michaels,1420135953,1
Kensington,NO SAFE SECRET,Fern Michaels,1617734616,0
Zebra/Kensington,THE SCOOP,Fern Michaels,1420127950,1
Zebra,UPSIDE DOWN,Fern Michaels,1420134957,1
Zebra,WISHES FOR CHRISTMAS,Fern Michaels,1420136666,0
New American Library,THE WIDOW,Fiona Barton,1101990465,0
Washington Square,A MAN CALLED OVE,Fredrik Backman,1476738025,56
Atria,BEARTOWN,Fredrik Backman,1501160788,1
Washington Square,MY GRANDMOTHER ASKED ME TO TELL YOU SHE'S SORRY,Fredrik Backman,1501115073,3
Kensington Publishing,HOW TO DRIVE A DRAGON CRAZY,G A Aiken,1420131001,0
Atria/Keywords,ADULTOLESCENCE,Gabbie Hanna,1501178326,1
Riverhead,MY ABSOLUTE DARLING,Gabriel Tallent,735211191,1
Algonquin,THE STORIED LIFE OF A. J. FIKRY,Gabrielle Zevin,1616203943,1
Knopf,CITY ON FIRE,Garth Risk Hallberg,385353774,1
HarperCollins Publishers,THE ART OF RACING IN THE RAIN,Garth Stein,61738093,1
Harlequin,BURNING DAWN,Gena Showalter,1460331222,1
Harlequin,THE DARKEST CRAVING,Gena Showalter,1460316495,1
Harlequin,THE DARKEST SEDUCTION,Gena Showalter,1459222830,1
"Little, Brown & Company",WHAT IT WAS,George Pelecanos,316209554,1
Random House,A CLASH OF KINGS,George R R Martin,553897853,0
Random House,A DANCE WITH DRAGONS,George R R Martin,553582011,0
Random House,A FEAST FOR CROWS,George R R Martin,553900323,0
Bantam,A GAME OF THRONES,George R R Martin,553897845,51
Bantam,A GAME OF THRONES: FIVE-BOOK SET,George R R Martin,345535537,0
Bantam,A KNIGHT OF THE SEVEN KINGDOMS,George R R Martin,345533488,0
Random House,LINCOLN IN THE BARDO,George Saunders,812995341,2
Random House Publishing,TENTH OF DECEMBER,George Saunders,812993802,0
Georgia Cates,BEAUTY FROM SURRENDER,Georgia Cates,1628470356,2
Broadway,DARK PLACES,Gillian Flynn,307459926,0
Crown,GONE GIRL,Gillian Flynn,307588386,0
Broadway,SHARP OBJECTS,Gillian Flynn,307341550,0
Threshold Editions,THE EYE OF MOLOCH,Glenn Beck,1451635834,0
Threshold Editions,THE SNOW ANGEL,Glenn Beck,1439187207,1
Simon & Schuster,AGENDA 21,Glenn Beck with Harriet Parke,1476717001,0
Putnam,TOM CLANCY: DUTY AND HONOR,Grant Blackwood,399176802,2
Morrow/HarperCollins,MISSISSIPPI BLOOD,Greg Iles,62311158,3
Morrow/HarperCollins,NATCHEZ BURNING,Greg Iles,62311107,0
HarperCollins Publishers,OUT OF OZ,Gregory Maguire,60548940,0
HarperCollins Publishers,THE NIGHT ETERNAL,Guillermo del Toro and Chuck Hogan,62066048,1
Laree Bailey,DAMAGED,H M Ward,985547324,4
Laree Bailey,DAMAGED 2,H M Ward,985547340,0
Laree Bailey Press,THE ARRANGEMENT 11,H M Ward,1630350028,0
Laree Bailey,THE ARRANGEMENT 13,H M Ward,1630350141,1
H. M. Ward,THE ARRANGEMENT 15,H M Ward,1630350281,1
Laree Bailey,THE ARRANGEMENT 20,H M Ward,1630350745,0
Laree Bailey Press,THE ARRANGEMENT 9: THE FERRO FAMILY,H M Ward,985547367,0
Random House Publishing,SOMETHING WITCHY THIS WAY COMES,H P Mallory,345531590,1
Dutton,DON'T LET GO,Harlan Coben,698411668,4
Dutton,FOOL ME ONCE,Harlan Coben,698404173,6
Dutton,HOME,Harlan Coben,698411447,6
Dutton,MISSING YOU,Harlan Coben,698148630,6
Dutton,THE STRANGER,Harlan Coben,451414136,0
Harper,GO SET A WATCHMAN,Harper Lee,62409875,16
Knopf Doubleday Publishing,1Q84,Haruki Murakami,307593312,0
Knopf,COLORLESS TSUKURU TAZAKI AND HIS YEARS OF PILGRIMAGE,Haruki Murakami,385352107,2
Morrow/HarperCollins,THE GIRL WHO CAME HOME,Hazel Gaynor,62316877,2
Mira,DARKEST JOURNEY,Heather Graham,1460395921,1
